teamId,compId,compName,teamName,teamNickName,teamAbbr,teamHexColour,teamHexColour2
500001,111,nrl,Sydney Roosters,Roosters,SYD,062f67,ff1200
500002,111,nrl,Manly-Warringah Sea Eagles,Sea Eagles,MAN,610a35,b4b4be
500003,111,nrl,Newcastle Knights,Knights,NEW,ee3424,0c499c
500004,111,nrl,Gold Coast Titans,Titans,GOL,ffa71f,2f8fbf
500005,111,nrl,South Sydney Rabbitohs,Rabbitohs,SOU,01914c,ed1b26
500010,111,nrl,Canterbury-Bankstown Bulldogs,Bulldogs,BUL,0055a5,b4b4be
500011,111,nrl,Brisbane Broncos,Broncos,BRI,650038,ffce35
500012,111,nrl,North Queensland Cowboys,Cowboys,NQL,fcde05,102247
500013,111,nrl,Canberra Raiders,Raiders,CAN,00ab57,022c9a
500014,111,nrl,Penrith Panthers,Panthers,PEN,00687d,232020
500021,111,nrl,Melbourne Storm,Storm,MEL,500180,feba35
500022,111,nrl,St. George Illawarra Dragons,Dragons,STG,fe000b,b4b4be
500023,111,nrl,Wests Tigers,Wests Tigers,WST,ff7f00,000000
500028,111,nrl,Cronulla-Sutherland Sharks,Sharks,CRO,4b9ad4,000000
500031,111,nrl,Parramatta Eels,Eels,PAR,ffd900,0058a4
500032,111,nrl,New Zealand Warriors,Warriors,WAR,cccccc,000000
500055,114,qcup,Mackay Cutters,Cutters,CUT,741212,0085d0
500056,114,qcup,Brisbane Tigers,Tigers,TIG,ff7f00,000000
500057,114,qcup,Northern Pride,Pride,PRI,00b2aa,f26122
500058,114,qcup,Sunshine Coast Falcons,Falcons,FAL,fdc62d,000000
500061,114,qcup,Burleigh Bears,Bears,BEA,b9452e,000000
500062,114,qcup,Central Queensland Capras,Capras,CAP,71113d,172e56
500070,114,qcup,Ipswich Jets,Jets,JET,2ca569,b4b4be
500071,114,qcup,Norths Devils,Devils,DEV,35ace4,f5c116
500072,114,qcup,Redcliffe Dolphins,Dolphins,DOL,ea1d24,b4b4be
500073,114,qcup,Papua New Guinea Hunters,Hunters,HUN,fddc05,ed1b24
500074,114,qcup,Wynnum Manly Seagulls,Seagulls,WMS,6bbe3c,f93738
500075,114,qcup,Tweed Seagulls,Seagulls,THS,000000,b4b4be
500082,159,jerseyflegg,South Sydney Rabbitohs U21,Rabbitohs,SOU,01914c,ed1b26
500083,159,jerseyflegg,Sydney Roosters U21,Roosters,SYD,062f67,ff1200
500085,159,jerseyflegg,Canterbury-Bankstown Bulldogs U21,Bulldogs,BUL,0055a5,b4b4be
500099,159,jerseyflegg,Penrith Panthers U21,Panthers,PEN,00687d,232020
500100,159,jerseyflegg,Newcastle Knights U21,Knights,NEW,ee3424,0c499c
500101,113,nswcup,Penrith Panthers NSW Cup,Panthers,PEN,00687d,232020
500102,113,nswcup,Newcastle Knights NSW Cup,Knights,NEW,ee3424,0c499c
500104,159,jerseyflegg,Canberra Raiders U21,Raiders,CAN,00ab57,022c9a
500105,159,jerseyflegg,Manly-Warringah Sea Eagles U21,Sea Eagles,MAN,610a35,b4b4be
500107,159,jerseyflegg,St. George Illawarra Dragons U21,Dragons,STG,fe000b,b4b4be
500108,159,jerseyflegg,Wests Tigers U21,Wests Tigers,WST,ff7f00,000000
500115,159,jerseyflegg,Parramatta Eels U21,Eels,PAR,ffd900,0058a4
500116,159,jerseyflegg,New Zealand Warriors U21,Warriors,WAR,cccccc,000000
500122,159,jerseyflegg,Cronulla-Sutherland Sharks U21,Sharks,CRO,4b9ad4,000000
500124,113,nswcup,St. George Illawarra Dragons NSW Cup,Dragons,STG,fe000b,b4b4be
